grain,Primary shape,Secondary feature,Fractures
g_1,blocky,jagged-vesicular,none observed
g_2,blocky,none,maybe some
g_3,blocky,none,maybe some
g_4,elongated-tubular,none,none observed
g_5,blocky,none,some
g_6,elongated-tubular,none,none
g_7,fluidal,none,none
g_8,jagged-vesicular,none,none
g_9,blocky,none,none
g_10,elongated-tubular,none,none
g_11,blocky,none,none observed
g_12,blocky,jagged-vesicular,some
g_13,blocky,none,clearly many
g_14,blocky,none,maybe some
g_15,blocky,jagged-vesicular,some
g_16,fluidal,jagged-vesicular,none
g_17,blocky,none,none observed
g_18,jagged-vesicular,none,none observed
g_19,fluidal,none,none
g_20,blocky,jagged-vesicular,maybe some
g_21,jagged-vesicular,blocky,some
g_22,jagged-vesicular,none,none observed
g_23,blocky,jagged-vesicular,none
g_24,blocky,none,maybe some
g_25,blocky,none,none observed
g_26,blocky,none,some
g_27,elongated-tubular,fluidal,none observed
g_28,jagged-vesicular,none,none
g_29,jagged-vesicular,none,maybe some
g_30,fluidal,blocky,none
g_31,blocky,none,none observed
g_32,jagged-vesicular,fluidal,none
g_33,blocky,jagged-vesicular,none
g_34,blocky,none,none observed
g_35,jagged-vesicular,none,none
g_36,blocky,none,none observed
g_37,blocky,none,maybe some
g_38,blocky,none,some
g_39,elongated-tubular,none,none
g_40,blocky,none,clearly many
g_41,blocky,fluidal,none
g_42,blocky,elongated-tubular,none observed
g_43,elongated-tubular,blocky,none
g_44,elongated-tubular,blocky,none observed
g_45,jagged-vesicular,none,maybe some
g_46,blocky,jagged-vesicular,some
g_47,jagged-vesicular,none,none observed
g_48,jagged-vesicular,none,none
g_49,blocky,none,some
g_50,blocky,elongated-tubular,none
g_51,jagged-vesicular,none,none
g_52,jagged-vesicular,none,none
g_53,elongated-tubular,elongated-tubular,none
g_54,jagged-vesicular,blocky,maybe some
g_55,jagged-vesicular,none,none observed
g_56,elongated-tubular,blocky,none observed
g_57,jagged-vesicular,blocky,none observed
g_58,jagged-vesicular,none,none
g_59,jagged-vesicular,elongated-tubular,none observed
g_60,blocky,jagged-vesicular,some
g_61,blocky,elongated-tubular,none observed
g_62,blocky,elongated-tubular,some
g_63,jagged-vesicular,none,none
g_64,blocky,none,some
g_65,elongated-tubular,jagged-vesicular,none observed
g_66,jagged-vesicular,none,none observed
g_67,blocky,none,maybe some
g_68,fluidal,none,maybe some
g_69,jagged-vesicular,none,none
g_70,jagged-vesicular,fluidal,maybe some
g_71,elongated-tubular,blocky,none observed
g_72,elongated-tubular,none,none observed
g_73,jagged-vesicular,none,none
g_74,blocky,none,some
g_75,blocky,elongated-tubular,none observed
g_76,jagged-vesicular,none,maybe some
g_77,elongated-tubular,blocky,some
g_78,jagged-vesicular,none,none observed
g_79,blocky,none,maybe some
g_80,blocky,fluidal,none observed
g_81,jagged-vesicular,none,none
g_82,blocky,none,some
g_83,jagged-vesicular,none,none
g_84,elongated-tubular,blocky,some
g_85,blocky,jagged-vesicular,none
g_86,jagged-vesicular,none,none
g_87,jagged-vesicular,none,none observed
g_88,blocky,none,maybe some
g_89,jagged-vesicular,none,none
g_90,blocky,none,none observed
g_91,blocky,jagged-vesicular,maybe some
g_92,jagged-vesicular,elongated-tubular,clearly many
g_93,blocky,none,clearly many
g_94,jagged-vesicular,none,none
g_95,blocky,none,none
g_96,blocky,none,some
g_97,blocky,none,none observed
g_98,blocky,none,none
g_99,elongated-tubular,none,none
g_100,fluidal,none,none
g_101,elongated-tubular,fluidal,none observed
g_102,blocky,none,clearly many
g_103,blocky,none,some
g_104,blocky,none,maybe some
g_105,blocky,none,maybe some
g_106,blocky,none,none observed
g_107,blocky,none,clearly many
g_108,elongated-tubular,none,maybe some
g_109,blocky,fluidal,none observed
g_110,blocky,none,clearly many
g_111,blocky,none,clearly many
g_112,elongated-tubular,none,none observed
g_113,blocky,none,some
g_114,blocky,none,maybe some
g_115,elongated-tubular,none,some
g_116,jagged-vesicular,none,maybe some
g_117,elongated-tubular,none,none observed
g_118,elongated-tubular,blocky,none observed
g_119,blocky,none,maybe some
g_120,blocky,none,none observed
g_121,blocky,none,none observed
g_122,blocky,none,none observed
g_123,blocky,none,clearly many
g_124,elongated-tubular,fluidal,maybe some
g_125,blocky,none,some
g_126,blocky,none,maybe some
g_127,elongated-tubular,none,maybe some
g_128,blocky,none,clearly many
g_129,blocky,jagged-vesicular,some
g_130,blocky,jagged-vesicular,none
g_131,blocky,none,clearly many
g_132,blocky,none,maybe some
g_133,blocky,none,none observed
g_134,elongated-tubular,none,none observed
g_135,elongated-tubular,jagged-vesicular,maybe some
g_136,blocky,none,maybe some
g_137,elongated-tubular,blocky,none
g_138,elongated-tubular,none,some
g_139,blocky,none,some
g_140,jagged-vesicular,blocky,none observed
g_141,jagged-vesicular,none,none
g_142,jagged-vesicular,none,none observed
g_143,jagged-vesicular,blocky,maybe some
g_144,elongated-tubular,none,some
g_145,jagged-vesicular,none,none observed
g_146,jagged-vesicular,none,none
g_147,blocky,none,none observed
g_148,blocky,none,none observed
g_149,jagged-vesicular,none,none observed
g_150,jagged-vesicular,none,maybe some
g_151,blocky,none,clearly many
g_152,jagged-vesicular,none,some
g_153,jagged-vesicular,none,none observed
g_154,elongated-tubular,none,some
g_155,jagged-vesicular,elongated-tubular,some
g_156,elongated-tubular,none,none
g_157,jagged-vesicular,none,some
g_158,elongated-tubular,none,none observed
g_159,blocky,none,some
g_160,blocky,none,clearly many
g_161,jagged-vesicular,none,none observed
g_162,blocky,fluidal,none
g_163,elongated-tubular,none,none observed
g_164,blocky,none,maybe some
g_165,jagged-vesicular,elongated-tubular,maybe some
g_166,blocky,none,some
g_167,blocky,none,none observed
g_168,blocky,none,some
g_169,elongated-tubular,none,maybe some
g_170,blocky,none,clearly many
g_171,jagged-vesicular,none,maybe some
g_172,jagged-vesicular,none,some
g_173,blocky,none,some
g_174,elongated-tubular,none,none observed
g_175,blocky,none,none observed
g_176,jagged-vesicular,none,maybe some
g_177,blocky,none,some
g_178,blocky,none,some
g_179,jagged-vesicular,none,some
g_180,jagged-vesicular,none,none
g_181,blocky,none,some
g_182,jagged-vesicular,none,some
g_183,blocky,none,maybe some
g_184,jagged-vesicular,none,some
g_185,blocky,elongated-tubular,maybe some
g_186,elongated-tubular,fluidal,none observed
g_187,blocky,none,none
g_188,blocky,jagged-vesicular,some
g_189,jagged-vesicular,none,none observed
g_190,blocky,jagged-vesicular,some
g_191,blocky,jagged-vesicular,some
g_192,blocky,none,some
g_193,jagged-vesicular,none,maybe some
g_194,blocky,none,clearly many
g_195,blocky,none,maybe some
g_196,blocky,none,some
g_197,jagged-vesicular,fluidal,some
g_198,jagged-vesicular,none,none observed
g_199,elongated-tubular,blocky,maybe some
g_200,blocky,none,none observed
g_201,jagged-vesicular,elongated-tubular,some
g_202,jagged-vesicular,none,none observed
g_203,blocky,none,some
g_204,elongated-tubular,jagged-vesicular,maybe some
g_205,blocky,none,clearly many
g_206,blocky,none,some
g_207,blocky,none,maybe some
g_208,jagged-vesicular,none,none
g_209,elongated-tubular,none,none observed
g_210,elongated-tubular,none,none observed
g_211,jagged-vesicular,fluidal,some
g_212,blocky,none,none observed
g_213,blocky,none,maybe some
g_214,jagged-vesicular,none,none observed
g_215,blocky,none,some
g_216,jagged-vesicular,none,none
g_217,elongated-tubular,none,none
g_218,blocky,none,clearly many
g_219,blocky,none,none observed
g_220,blocky,none,none observed
g_221,blocky,none,none observed
g_222,blocky,none,maybe some
g_223,jagged-vesicular,none,none
g_224,blocky,none,none observed
g_225,jagged-vesicular,fluidal,none
g_226,elongated-tubular,fluidal,none observed
